Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Chunky bar,475.0,60.0,0.01,28.0,2.5,7.5,13.0,0.038,53.0
Banana pudding,105.0,20.0,0.006,1.7,0.0,2.8,0.97,0.296,
Chocolate pudding,105.0,19.0,0.006,1.9,0.4,3.2,1.1,0.284,
Milky way,456.0,71.0,0.009,17.0,1.0,4.0,12.0,0.167,60.0
Skor bar,541.0,64.0,0.053,30.0,1.3,3.1,19.0,0.317,60.0
M&Ms Peanut,515.0,60.0,0.008,26.0,3.7,9.6,10.0,0.05,51.0
Mounds candy bar,486.0,59.0,0.002,27.0,3.7,4.6,21.0,0.145,46.0
Mr. Goodbar,538.0,54.0,0.01,33.0,3.8,10.0,14.0,0.041,47.0
100 grand bar,468.0,71.0,0.012,19.0,1.0,2.5,12.0,0.203,52.0
Crunch bar,500.0,67.0,0.013,26.0,1.9,5.0,16.0,0.15,55.0
Candy bar,522.0,47.0,0.0,34.0,4.1,16.0,4.7,0.156,42.0
Raisinets,422.0,71.0,0.011,17.0,2.2,4.4,11.0,0.033,59.0
Reeses cups,515.0,55.0,0.006,31.0,3.6,10.0,11.0,0.357,47.0
Reese's pieces,497.0,60.0,0.0,25.0,3.0,12.0,16.0,0.194,53.0
Rolo,474.0,68.0,0.012,21.0,0.9,5.1,15.0,0.188,64.0
After eight,432.0,80.0,0.0,12.0,2.4,1.7,8.3,0.001,67.0
Starburst,408.0,83.0,0.0,8.2,0.0,0.41,7.8,0.002,58.0
3 musketeers,436.0,78.0,0.005,13.0,1.5,2.6,8.6,0.194,67.0
Twix,502.0,65.0,0.007,25.0,1.1,4.9,19.0,0.198,48.0
Whatchamacallit,494.0,63.0,0.012,24.0,1.9,8.0,17.0,0.299,49.0
Chewing gum,360.0,97.0,0.0,0.3,2.4,0.0,0.04,0.001,66.0
Cocoa bean,220.0,58.0,0.0,13.0,30.0,18.0,7.8,0.019,1.8
Custard,122.0,18.0,0.051,4.0,0.0,4.0,2.0,0.084,4.8
