Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Picante sauce,25.0,6.3,0.0,0.0,3.1,0.0,0.0,0.688,6.3
Taco sauce,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0.813,6.3
Indian masala,57.0,11.0,0.0,0.88,2.6,3.3,0.18,0.092,2.3
Sriracha,93.0,19.0,,0.93,2.2,1.9,,2.124,15.0
Cheese sauce,438.0,61.0,0.023,18.0,1.0,7.7,8.4,3.202,10.0
Chowder,99.0,7.5,0.011,6.3,0.9,3.1,1.8,0.299,
Alfredo sauce,535.0,37.0,0.056,36.0,2.0,15.0,13.0,2.59,5.4
Chili sauce,21.0,3.9,0.0,0.6,0.7,0.9,0.08,0.025,2.6
Worcestershire sauce,78.0,19.0,0.0,0.0,0.0,0.0,0.0,0.98,10.0
Dashi,438.0,65.0,0.013,14.0,0.2,17.0,3.4,1.067,14.0
Succotash,99.0,20.0,0.0,1.0,3.8,5.0,0.19,0.004,
Egg Drop Soup,27.0,4.3,0.023,0.61,0.4,1.2,0.17,0.37,0.09
Hot and sour soup,39.0,4.4,0.021,1.2,0.5,2.6,0.23,0.376,0.42
Wonton soup,32.0,5.3,0.004,0.26,0.2,2.1,0.06,0.406,0.34
Tomatillo Salsa Verde,47.0,6.3,0.0,1.6,0.0,0.0,0.0,0.719,6.3
Tartar sauce,211.0,13.0,0.007,17.0,0.5,1.0,3.3,0.667,4.3
Potato flour,357.0,83.0,0.0,0.34,5.9,6.9,0.09,0.055,3.5
Corn pudding,131.0,17.0,0.072,5.0,1.2,4.4,2.5,0.282,6.6
Biscuit,353.0,45.0,0.003,16.0,1.5,7.0,4.3,0.58,2.2
Banana bread,326.0,55.0,0.043,11.0,1.1,4.3,2.2,0.302,
Cornbread,330.0,54.0,0.057,9.6,2.3,6.6,3.7,0.599,16.0
Egg bread,287.0,48.0,0.051,6.0,2.3,9.5,1.6,0.38,1.8
Dough,272.0,52.0,0.0,2.4,2.2,11.0,0.53,0.602,4.6
French bread,319.0,62.0,0.0,2.1,3.1,13.0,0.5,0.72,3.6
Irish soda bread,290.0,56.0,0.018,5.0,2.6,6.6,1.1,0.398,
Italian bread,271.0,50.0,0.0,3.5,3.2,8.8,0.0,0.55,3.2
Multigrain bread,288.0,47.0,0.0,4.6,8.1,15.0,0.95,0.414,6.9
Oat bread,236.0,40.0,0.0,4.4,4.5,10.0,0.7,0.353,7.7
Oatmeal bread,269.0,49.0,0.0,4.4,4.0,8.4,0.7,0.447,8.1
Pita bread,275.0,56.0,0.0,1.2,2.2,9.1,0.17,0.536,1.3
Protein bread,245.0,44.0,0.0,2.2,3.0,12.0,0.33,0.404,1.4
Pumpernickel bread,250.0,48.0,0.0,3.1,6.5,8.7,0.44,0.596,0.53
Raisin bread,274.0,52.0,0.0,4.4,4.3,7.9,1.1,0.347,5.7
Rye bread,259.0,48.0,0.0,3.3,5.8,8.5,0.63,0.603,3.9
White Bread,266.0,49.0,0.0,3.3,2.7,8.9,0.7,0.49,5.7
Bread crumbs,395.0,72.0,0.0,5.3,4.5,13.0,1.2,0.732,6.2
Bread sticks,412.0,68.0,0.0,9.5,3.0,12.0,1.4,0.713,1.3
Bread stuffing,386.0,76.0,0.001,3.4,3.2,11.0,0.85,1.405,8.3
Angel food cake,258.0,58.0,0.0,0.8,1.5,5.9,0.12,0.749,
Carrot cake,415.0,79.0,0.0,9.8,,5.1,1.5,0.567,
Chocolate cake,371.0,53.0,0.058,15.0,1.6,5.3,5.4,0.315,
White cake,356.0,63.0,0.001,10.0,1.0,4.4,3.9,0.284,57.0
Coffeecake,339.0,44.0,0.085,15.0,1.0,7.0,5.4,0.339,
Fruitcake,324.0,62.0,0.005,9.1,3.7,2.9,1.0,0.101,27.0
Gingerbread,356.0,49.0,0.032,16.0,,3.9,4.1,0.327,
Marble cake,416.0,80.0,0.0,12.0,2.9,3.4,2.5,0.519,36.0
Pineapple cake,319.0,51.0,0.022,12.0,0.8,3.5,2.9,0.319,
Pound cake,353.0,54.0,0.066,14.0,0.6,5.0,4.8,0.377,33.0
Shortcake,346.0,49.0,0.003,14.0,,6.1,3.8,0.506,
Yellow cake,379.0,55.0,0.016,18.0,1.5,3.2,5.8,0.31,39.0
Cheesecake,321.0,26.0,0.055,23.0,0.4,5.5,9.9,0.438,22.0
Chocolate brownie,466.0,50.0,0.073,29.0,,6.2,7.3,0.343,
Butter cookie,467.0,69.0,0.117,19.0,0.8,6.1,11.0,0.282,20.0
Wafer,433.0,73.0,0.002,14.0,3.4,6.6,4.2,0.58,37.0
Fig bars,348.0,71.0,0.0,7.3,4.6,3.7,1.1,0.35,46.0
Gingersnaps,416.0,77.0,0.0,9.8,2.2,5.6,2.5,0.501,20.0
Graham cracker,430.0,78.0,0.0,11.0,3.4,6.7,1.6,0.459,25.0
Ladyfingers,363.0,60.0,0.221,9.1,1.0,11.0,3.0,0.147,
Cookie dough,424.0,59.0,0.024,19.0,2.5,5.4,4.8,0.294,
Shortbread,514.0,64.0,0.0,26.0,1.3,5.4,8.1,0.353,22.0
Puff pastry,558.0,46.0,0.0,39.0,1.5,7.4,5.5,0.253,0.75
Cheese crackers,489.0,59.0,0.003,23.0,2.3,11.0,5.3,0.973,4.5
Matzo,395.0,84.0,0.0,1.4,3.0,10.0,0.23,0.0,0.29
Melba toast,390.0,77.0,0.0,3.2,6.3,12.0,0.45,0.598,0.94
Cracker,510.0,61.0,0.0,26.0,2.3,6.6,5.6,0.726,8.2
Cheese sandwich,497.0,58.0,0.007,25.0,3.1,9.8,4.1,0.839,
Croissant,406.0,46.0,0.067,21.0,2.6,8.2,12.0,0.467,11.0
Crouton,407.0,74.0,0.0,6.6,5.1,12.0,1.5,0.698,
Danish pastry,374.0,37.0,0.023,22.0,1.0,8.0,6.8,0.417,7.0
Doughnuts,434.0,47.0,0.01,25.0,1.7,5.3,11.0,0.477,18.0
English muffins,227.0,44.0,0.0,1.7,3.5,8.9,0.73,0.425,3.5
French toast,229.0,25.0,0.116,11.0,,7.7,2.7,0.479,
Hush puppies,337.0,46.0,0.045,14.0,2.8,7.7,2.1,0.668,2.0
Muffin,375.0,53.0,0.03,16.0,1.1,4.5,2.8,0.336,31.0
Pancake,227.0,28.0,0.059,9.7,,6.4,2.1,0.439,
Blueberry pie,245.0,34.0,0.0,12.0,,2.7,2.9,0.185,
Cherry pie,270.0,39.0,0.0,12.0,,2.8,3.0,0.191,
Cream pie,353.0,38.0,0.012,22.0,0.8,4.2,12.0,0.266,27.0
Lemon meringue pie,285.0,39.0,0.053,13.0,,3.8,3.2,0.242,
Pecan pie,412.0,52.0,0.087,22.0,,4.9,4.0,0.262,
Pumpkin pie,243.0,35.0,0.026,9.8,1.8,3.9,2.0,0.239,19.0
Pie crust,518.0,52.0,0.0,31.0,,6.9,8.0,0.753,
Pastry,551.0,45.0,0.0,38.0,1.5,7.3,9.6,0.249,0.74
Filo,299.0,53.0,0.0,6.0,1.9,7.1,1.5,0.483,0.18
Popovers,371.0,71.0,0.0,4.3,,10.0,0.98,0.906,
Dinner rolls,310.0,52.0,0.004,6.5,2.0,11.0,1.4,0.467,5.6
French rolls,277.0,50.0,0.0,4.3,3.2,8.6,0.96,0.574,0.31
Apple strudel,274.0,41.0,0.006,11.0,2.2,3.3,2.0,0.135,26.0
Sweet roll,372.0,51.0,0.066,16.0,2.4,6.2,3.1,0.304,32.0
Taco shells,476.0,63.0,0.0,22.0,6.7,6.4,7.1,0.324,1.5
Waffle,291.0,33.0,0.069,14.0,,7.9,2.9,0.511,
Wonton wrappers,291.0,58.0,0.009,1.5,1.8,9.8,0.26,0.572,
Baking powder,53.0,28.0,0.0,0.0,0.2,0.0,0.0,10.6,0.0
Cream of tartar,258.0,62.0,0.0,0.0,0.2,0.0,0.0,0.052,0.0
Baker's yeast,105.0,18.0,0.0,1.9,8.1,8.4,0.24,0.03,0.0
Yeast,325.0,41.0,0.0,7.6,27.0,40.0,1.0,0.051,0.0
Chocolate chip cookie,488.0,58.0,0.07,28.0,,5.7,14.0,0.341,
Pita,275.0,56.0,0.0,1.2,2.2,9.1,0.17,0.536,1.3
Ladyfinger,363.0,60.0,0.221,9.1,1.0,11.0,3.0,0.147,
English muffin,235.0,46.0,0.0,1.8,2.7,7.7,0.26,0.464,
Apple pie,237.0,34.0,0.0,11.0,1.6,1.9,3.8,0.266,
Saltine cracker,393.0,82.0,0.0,1.6,2.7,11.0,0.24,0.849,0.38
Tart,372.0,77.0,0.0,6.0,1.5,4.0,1.4,0.361,4.9
Pop tarts,412.0,68.0,0.0,13.0,1.1,4.6,2.0,0.398,31.0
Chocolate eclair,241.0,40.0,0.047,6.9,2.1,4.4,1.4,0.3,17.0
Tostada shells,474.0,64.0,,23.0,5.8,6.2,7.0,0.657,
Pan dulce,367.0,56.0,0.03,12.0,2.3,9.4,2.2,0.228,13.0
Cream cracker,484.0,65.0,,20.0,2.4,7.0,5.4,1.148,9.4
Cinnamon roll,452.0,49.0,0.005,27.0,1.2,4.5,13.0,0.305,26.0
Bagel,250.0,49.0,0.0,1.5,4.1,10.0,0.0,0.439,6.1
Potato bread,266.0,47.0,0.0,3.1,6.3,13.0,0.0,0.375,9.4
Focaccia,249.0,36.0,0.0,7.9,1.8,8.8,0.88,0.561,1.8
Patty,204.0,0.0,0.053,16.0,0.0,15.0,6.3,0.074,
Strudel,318.0,50.0,0.012,11.0,1.2,5.0,2.7,0.691,17.0
Murray Vanilla Wafers,461.0,73.0,0.001,17.0,1.4,4.0,5.7,0.401,32.0
Keebler Oatmeal Cookies,478.0,68.0,0.0,20.0,4.5,7.1,6.3,0.325,31.0
Keebler Sugar Cones,375.0,78.0,0.0,3.7,2.1,7.3,0.8,0.326,26.0
Roti (Chapati),299.0,46.0,0.0,9.2,9.7,7.9,3.3,0.298,2.9
Paratha,326.0,45.0,0.001,13.0,9.6,6.4,5.8,0.452,4.2
Naan,286.0,46.0,0.001,6.7,4.8,10.0,2.9,0.467,3.4
Navajo frybread,330.0,48.0,0.007,12.0,,6.7,4.6,0.329,2.0
Lavash - Armenian Bread,281.0,60.0,0.0,1.2,3.1,8.7,0.2,0.796,
Hot dog,290.0,4.2,0.077,26.0,0.0,10.0,7.7,1.09,
Potato wedges,123.0,26.0,0.0,2.2,2.0,2.7,0.55,0.049,0.3
Veggie burger,177.0,14.0,0.005,6.3,4.9,16.0,1.4,0.569,1.1
Hash browns,272.0,29.0,0.0,17.0,2.7,2.6,2.5,0.566,0.56
Burrito,206.0,33.0,0.002,6.2,,6.5,3.2,0.454,
Nachos,343.0,35.0,0.003,22.0,3.2,4.3,2.2,0.313,2.2
Taco,226.0,20.0,0.028,13.0,3.9,8.9,4.4,0.397,0.9
Taco salad,170.0,12.0,0.019,9.2,3.0,6.7,3.0,0.363,
Cheeseburger,308.0,28.0,0.043,15.0,2.0,17.0,6.5,0.515,4.9
Chicken sandwich,250.0,21.0,0.035,11.0,1.4,16.0,2.1,0.753,3.6
Fish sandwich,257.0,27.0,0.035,12.0,1.0,10.0,1.9,0.602,3.5
Fast food,297.0,32.0,0.033,12.0,1.7,17.0,4.5,0.331,4.9
Hamburger,295.0,24.0,0.047,14.0,0.9,17.0,5.1,0.414,4.2
Roast beef sandwich,244.0,22.0,0.03,10.0,1.3,15.0,3.4,0.653,3.8
Submarine sandwich,213.0,20.0,0.027,10.0,1.2,11.0,3.6,0.575,3.2
Coleslaw,153.0,15.0,0.004,9.9,1.9,0.95,1.6,0.203,12.0
French fries,312.0,41.0,0.0,15.0,3.8,3.4,2.3,0.21,0.3
Mashed potato,89.0,15.0,0.0,2.8,1.3,1.7,0.58,0.306,0.5
Chicken teriyaki subway,155.0,23.0,0.022,2.4,1.2,11.0,0.51,0.305,6.1
McDonald's hamburger,264.0,30.0,0.027,10.0,1.3,13.0,3.5,0.494,6.0
McDonald's Filet-O-Fish,282.0,26.0,0.032,15.0,1.4,11.0,2.8,0.434,3.7
McDonald's Cheeseburger,263.0,28.0,0.035,12.0,1.1,13.0,4.4,0.626,6.2
McDonald's Quarter Pounder,244.0,22.0,0.039,12.0,1.6,14.0,4.0,0.427,5.1
McDonald's Big Mac,257.0,20.0,0.036,15.0,1.6,12.0,3.8,0.46,4.0
McDonald's french fries,323.0,43.0,,15.0,3.9,3.4,2.3,0.189,0.21
Wendy's hamburger,213.0,17.0,0.035,11.0,1.3,13.0,3.7,0.395,
Wendy's chicken sandwich,214.0,22.0,0.031,8.1,1.3,14.0,1.6,0.401,
Wendy's Spicy Chicken Nuggets,326.0,14.0,0.05,23.0,,16.0,4.8,0.708,0.08
Burger King Whopper,233.0,19.0,0.03,13.0,1.8,11.0,4.3,0.313,4.2
Nachos Supreme,223.0,21.0,0.014,12.0,3.7,6.2,2.5,0.348,1.6
Taco Salad,170.0,12.0,0.019,9.2,3.0,6.7,3.0,0.363,
Pepperoni Pizza,298.0,30.0,0.025,14.0,1.8,12.0,5.3,0.692,3.2
Pizza,266.0,33.0,0.017,9.7,2.3,11.0,4.5,0.598,3.6
Chicken McNuggets,302.0,15.0,0.044,20.0,,16.0,3.3,0.566,0.08
McGriddles,312.0,31.0,0.024,18.0,1.0,8.4,5.4,0.737,11.0
McFlurry,177.0,27.0,0.016,6.5,0.2,4.0,3.4,0.054,24.0
McChicken Sandwich,273.0,28.0,0.027,13.0,1.3,10.0,2.3,0.624,3.6
Egg McMUFFIN,228.0,22.0,0.165,9.7,1.1,14.0,3.6,0.617,2.1
Chicken fingers,271.0,17.0,0.048,14.0,1.2,19.0,2.5,0.769,0.4
KFC Fried Chicken,384.0,19.0,0.082,28.0,0.0,14.0,6.3,1.042,0.0
Club sandwich,220.0,20.0,0.046,8.1,1.2,17.0,3.1,0.63,4.7
Yogurt parfait,84.0,16.0,0.003,1.0,1.1,3.4,0.53,0.049,12.0
Chicken Quesadilla,294.0,24.0,0.037,15.0,1.7,15.0,6.2,0.745,1.9
Greek Tzatziki,203.0,30.0,0.01,6.6,5.9,11.0,2.3,0.322,2.7
Tikka Masala,191.0,30.0,0.008,5.9,6.0,10.0,2.1,0.247,4.0
Beef Stroganoff,98.0,9.0,0.021,4.6,0.6,5.1,2.3,0.435,1.7
Bran cereal,259.0,74.0,0.0,4.9,29.0,13.0,1.1,0.258,16.0
Kellogg's Apple Jacks,375.0,88.0,0.0,3.4,9.3,5.1,1.9,0.466,44.0
Cap'n Crunch Cereal,398.0,86.0,0.0,5.1,2.5,4.4,3.3,0.754,44.0
General Mills Cheerios,376.0,73.0,0.0,6.7,9.4,12.0,1.5,0.497,4.4
Cocoa Krispies,389.0,88.0,0.0,2.7,1.4,4.6,2.1,0.424,39.0
Cocoa Pebbles Cereal,397.0,86.0,0.0,4.1,1.6,4.8,3.6,0.594,36.0
Cookie Crisp Cereal,380.0,85.0,0.0,4.4,5.1,5.2,0.8,0.457,35.0
Kellogg's Corn Flakes,357.0,84.0,0.0,0.4,3.3,7.5,0.12,0.729,9.5
Kellogg's Froot Loops,375.0,88.0,0.0,3.4,9.3,5.3,1.8,0.469,42.0
Golden Grahams Cereal,374.0,85.0,0.0,3.2,5.6,5.3,0.4,0.772,35.0
Grape-Nuts Cereal,361.0,80.0,0.0,1.8,13.0,11.0,0.34,0.465,8.9
Honeycomb Cereal,394.0,87.0,0.0,2.9,3.2,6.0,1.3,0.553,32.0
Kix Cereal,357.0,83.0,0.0,3.5,8.8,7.7,0.58,0.596,9.8
Lucky Charms Cereal,380.0,81.0,0.0,5.0,5.0,7.7,0.89,0.648,36.0
Kellogg's Special K,377.0,73.0,0.0,1.8,1.4,18.0,0.4,0.667,13.0
Kellogg's Corn Pops Cereal,387.0,90.0,0.0,1.3,8.4,4.8,0.5,0.357,31.0
Kellogg's Frosted Flakes Cereal,369.0,89.0,0.0,1.7,2.2,4.0,0.45,0.468,35.0
Kellogg's Honey Smacks Cereal,380.0,89.0,0.0,2.2,5.0,5.7,0.5,0.142,56.0
Post Golden Crisp Cereal,380.0,90.0,0.0,1.7,5.0,5.5,0.2,0.095,54.0
General Mills Trix Cereal,384.0,86.0,0.0,3.8,3.9,4.9,0.5,0.5,32.0
Corn grits,74.0,16.0,,0.49,1.1,1.6,0.08,0.227,0.1
Cream of Wheat,62.0,13.0,0.0,0.24,0.6,1.8,0.04,0.102,0.07
Cream of Rice,52.0,12.0,0.0,0.1,0.1,0.9,0.02,0.173,0.04
Granola,389.0,81.0,0.0,5.7,7.0,8.7,1.4,0.257,28.0
Kellogg's Crispix Cereal,378.0,87.0,0.0,0.8,1.0,6.6,0.2,0.66,13.0
General Mills Franken Berry,386.0,85.0,0.0,4.3,4.2,5.5,0.5,0.458,27.0
General Mills Count Chocula,383.0,85.0,0.0,4.7,5.0,5.4,0.6,0.488,33.0
General Mills Cocoa Puffs,383.0,84.0,0.0,5.2,5.7,5.6,1.0,0.564,37.0
General Mills Cinnamon Toast Crunch,410.0,78.0,0.0,10.0,6.8,5.5,0.98,0.567,30.0
General Mills Boo Berry,386.0,85.0,0.0,4.3,4.2,5.5,0.5,0.458,27.0
Kellogg's Rice Krispie Treats,395.0,86.0,0.001,4.2,0.4,4.3,0.89,0.567,30.0
"Cereals ready-to-eat, Post, Waffle Crisp",390.0,83.0,0.0,5.0,4.4,6.6,0.9,0.596,35.0
Raisin Bran Cereal,342.0,80.0,0.0,1.9,10.0,7.6,0.42,0.466,33.0
Poi,112.0,27.0,0.0,0.14,0.4,0.38,0.03,0.012,0.39
Gratin,132.0,11.0,0.023,7.6,1.8,5.1,4.7,0.433,
Potato salad,143.0,11.0,0.068,8.2,1.3,2.7,1.4,0.529,
Potato pancake,268.0,28.0,0.095,15.0,3.3,6.1,2.5,0.764,1.8
Pickle relish,91.0,23.0,0.0,0.46,1.5,1.5,0.04,1.091,
Cutlet,117.0,7.3,0.0,1.5,4.5,23.0,0.3,0.371,0.2
Jerky,410.0,11.0,0.048,26.0,1.8,33.0,11.0,2.081,9.0
Corn chips,538.0,57.0,0.0,33.0,4.0,6.2,4.3,0.514,0.27
Granola bars,471.0,64.0,0.0,20.0,5.3,10.0,2.4,0.294,29.0
Popcorn,387.0,78.0,0.0,4.5,15.0,13.0,0.64,0.008,0.87
Caramel popcorn,400.0,81.0,0.0,7.8,3.8,6.4,1.0,0.177,45.0
Cheese popcorn,526.0,52.0,0.011,33.0,9.9,9.3,6.4,0.889,0.79
Pork skins,544.0,0.0,0.095,31.0,0.0,61.0,11.0,1.818,0.0
Rice cakes,380.0,80.0,0.0,3.5,3.8,9.0,0.64,0.116,
Tortilla chips,472.0,68.0,0.0,21.0,5.4,7.1,2.8,0.328,0.78
Trail mix,462.0,45.0,0.0,29.0,,14.0,5.6,0.229,
Fruit roll ups,373.0,85.0,,3.5,,0.1,0.99,0.317,39.0
Banana chips,519.0,58.0,0.0,34.0,7.7,2.3,29.0,0.006,35.0
Corn nuts,436.0,72.0,0.0,14.0,8.4,9.0,2.6,0.6,
Beef sticks,550.0,5.4,0.133,50.0,,22.0,21.0,1.531,
Potato sticks,522.0,53.0,0.0,34.0,3.4,6.7,8.9,0.633,0.22
Corn cake,387.0,83.0,0.0,2.4,1.9,8.1,0.42,0.488,23.0
Potato chips,536.0,53.0,0.0,35.0,4.8,7.0,11.0,0.008,0.22
Pretzels,381.0,79.0,0.0,3.5,2.8,9.1,0.75,1.715,
Tagliatelle,288.0,55.0,0.073,2.3,,11.0,0.33,0.026,
Scrambled egg,212.0,2.1,0.426,16.0,0.0,14.0,6.2,0.187,1.6
Caesar salad,265.0,32.0,0.024,9.5,1.7,13.0,4.2,0.454,4.0
Ravioli,77.0,14.0,0.003,1.5,1.3,2.5,0.72,0.306,3.7
Tortellini,307.0,47.0,0.042,7.2,1.9,14.0,3.6,0.406,0.95
Lasagne,135.0,15.0,0.017,4.9,1.7,7.3,2.3,0.373,3.1
Fettuccine,99.0,14.0,0.014,2.7,2.0,6.2,0.9,0.166,1.3
Penne,126.0,17.0,0.012,4.0,2.7,5.7,2.3,0.248,1.9
Sweet potato chips,532.0,57.0,0.0,32.0,8.8,2.9,2.9,0.035,8.8
Plantain chips,531.0,64.0,0.0,30.0,3.5,2.3,8.3,0.202,0.92
Clif Bar,346.0,65.0,0.0,5.9,7.4,15.0,1.5,0.195,32.0
Prawn crackers (Shrimp chips),426.0,59.0,0.002,18.0,5.6,7.1,5.4,0.571,21.0
Pico de gallo,31.0,9.4,0.0,0.0,,0.0,0.0,0.469,6.3
Pilaf,359.0,76.0,0.001,1.4,1.2,10.0,0.31,1.303,1.5
Taquitos,284.0,34.0,0.013,13.0,2.9,9.2,2.3,0.453,1.3
Salisbury steak,149.0,6.8,0.033,10.0,1.0,7.0,4.0,0.509,0.26
Tortilla,310.0,46.0,0.0,9.8,9.8,9.8,4.9,0.512,2.4
Tamale,153.0,18.0,0.017,6.1,3.1,6.3,2.4,0.427,0.99
Pupusas,232.0,23.0,0.029,10.0,2.6,12.0,3.2,0.426,1.5
Arepa,219.0,37.0,0.005,5.4,2.6,5.5,2.9,0.27,0.87
Spanish rice,185.0,31.0,0.0,5.3,1.2,3.3,1.0,0.528,1.3
Chinese egg rolls,250.0,27.0,0.016,12.0,2.6,8.3,2.1,0.468,
Chinese fried rice,174.0,33.0,0.018,3.0,1.1,4.1,0.54,0.387,0.56
Chinese cuisine,105.0,7.3,0.014,5.3,1.5,7.1,0.98,0.409,2.4
Mozzarella cheese sticks,324.0,27.0,0.032,18.0,1.6,14.0,6.6,1.008,2.8
Chinese lemon chicken,252.0,21.0,0.032,14.0,1.0,12.0,2.0,0.252,8.2
General tso's chicken,295.0,24.0,0.053,16.0,0.9,13.0,2.8,0.435,12.0
Kung Pao chicken,129.0,6.9,0.026,7.0,1.5,9.8,1.4,0.402,3.0
Lo mein,121.0,20.0,0.0,2.4,1.3,4.8,0.46,0.43,2.6
Orange chicken,262.0,22.0,0.061,13.0,0.8,14.0,2.4,0.553,14.0
Sesame chicken,293.0,27.0,0.059,14.0,0.7,14.0,2.4,0.482,16.0
Vermicelli,331.0,82.0,0.0,0.1,3.9,0.1,0.01,0.004,17.0
Baby food,379.0,73.0,0.0,4.4,7.5,12.0,0.77,0.003,0.87
Zwieback,426.0,74.0,0.008,9.7,2.5,10.0,2.5,0.227,13.0
Cherry juice,47.0,11.0,0.0,0.1,0.3,0.2,0.02,0.004,11.0
cream cheese,51.0,0.8,14.6,5.0,0.0,0.9,2.9,0.016,0.5
neufchatel cheese,215.0,3.1,62.9,19.4,0.0,7.8,10.9,0.3,2.7
requeijao cremoso light catupiry,49.0,0.9,0.0,3.6,0.1,0.8,2.3,0.0,3.4
ricotta cheese,30.0,1.5,9.8,2.0,0.0,1.5,1.3,0.017,0.091
cream cheese low fat,30.0,1.2,8.1,2.3,0.0,1.2,1.4,0.046,0.9
cream cheese fat free,19.0,1.4,2.2,0.2,0.0,2.8,0.1,0.1,1.0
gruyere cheese,116.0,0.1,30.8,9.1,0.0,8.3,5.3,0.2,0.1
cheddar cheese,113.0,0.9,27.7,9.3,0.0,6.4,5.3,0.2,0.1
parmesan cheese,71.0,0.6,12.2,4.5,0.0,6.4,2.7,0.2,0.046
romano cheese,19.0,0.2,5.2,1.3,0.0,1.6,0.9,0.008,0.088
parmesan cheese grated,21.0,0.7,4.3,1.4,0.0,1.4,0.8,0.043,0.075
port salut cheese,465.0,0.8,162.4,37.2,0.0,31.4,22.0,0.7,0.8
swiss cheese,98.0,0.4,23.3,7.7,0.0,6.7,4.6,0.057,0.0
goat cheese hard,128.0,0.6,29.7,10.1,0.0,8.6,7.0,0.076,0.6
gouda cheese,100.0,0.6,31.9,7.7,0.0,7.0,4.9,0.2,0.6
pepper jack cheese lucerne,75.0,0.0,0.0,6.0,2.5,5.0,4.0,0.0,0.0
caraway cheese,106.0,0.9,26.3,8.3,0.0,7.1,5.3,0.2,0.0
gjetost cheese,1058.0,96.8,213.4,67.0,0.0,21.9,43.5,1.4,0.0
tilsit cheese,136.0,0.8,40.8,10.4,0.0,9.8,6.7,0.3,0.0
goat cheese,103.0,0.009,22.4,8.4,0.0,6.1,5.8,0.1,0.031
brick cheese,111.0,0.8,28.2,8.9,0.0,7.0,5.6,0.2,0.2
asadero cheese,402.0,3.2,118.7,31.9,0.0,25.5,20.3,0.7,3.2
camembert cheese,90.0,0.1,21.6,7.3,0.0,5.9,4.6,0.3,0.1
provolone cheese reduced fat,310.0,4.0,62.2,19.9,0.0,27.9,12.8,1.0,0.6
roquefort cheese,314.0,1.7,76.5,26.0,0.0,18.3,16.4,1.5,0.0
queso blanco cheese,366.0,3.0,82.6,28.7,0.0,24.0,16.1,0.8,2.1
queso seco cheese,315.0,2.0,75.7,23.6,0.0,23.8,13.3,1.8,0.5
goat cheese soft,75.0,0.0,13.0,6.0,0.0,5.2,4.1,0.1,0.3
mozzarella cheese,90.0,0.7,23.7,6.6,0.0,6.7,4.2,0.1,0.0
chihuahua cheese,494.0,7.3,138.6,39.2,0.0,28.5,24.9,0.8,7.3
limburger cheese,98.0,0.1,27.0,8.2,0.0,6.0,5.0,0.2,0.1
muenster cheese,486.0,1.5,126.7,39.7,0.0,30.9,25.2,0.8,1.5
queso fresco cheese,365.0,3.6,84.2,29.1,0.0,22.1,15.8,0.9,2.8
brie cheese,100.0,0.1,30.0,8.3,0.0,6.2,5.2,0.2,0.1
pimento cheese,525.0,2.4,131.6,43.7,0.1,31.0,27.5,2.0,0.9
mexican cheese,316.0,3.8,69.4,21.7,0.0,27.7,13.0,0.9,0.6
feta cheese,80.0,1.2,26.7,6.4,0.0,4.3,4.0,0.3,0.0
mozzarella cheese fat free,159.0,4.0,20.3,0.0,2.0,35.8,0.0,0.8,1.7
provolone cheese,463.0,2.8,91.1,35.1,0.0,33.8,22.5,1.2,0.7
anejo cheese,492.0,6.1,138.6,39.6,0.0,28.3,25.1,1.5,6.1
honey,64.0,17.3,0.0,0.0,0.025,0.08,0.0,0.011,17.2
apple butter,35.0,8.5,0.0,0.063,0.3,0.045,0.038,0.003,7.1
fruit jam,56.0,13.8,0.0,0.095,0.2,0.0,0.021,0.052,9.7
chocolate hazelnut spread,100.0,11.5,0.0,5.5,1.0,1.0,5.3,0.099,10.0
peanut butter,88.0,3.6,0.0,7.4,0.9,3.3,1.4,0.085,1.0
peanut spread,101.0,2.2,0.0,8.5,1.2,3.8,1.6,0.028,0.5
chicken spread,88.0,2.3,31.4,9.8,0.2,10.1,1.8,0.4,0.3
cheese spread,708.0,8.4,216.0,68.6,0.0,17.0,43.2,1.2,8.4
tahini,86.0,3.9,0.0,7.2,1.4,2.7,1.0,0.098,0.0
orange marmalade,49.0,13.3,0.0,0.0,0.1,0.014,0.0,0.016,12.0
american cheese spread,46.0,1.4,8.8,3.4,0.0,2.6,2.1,0.3,1.2
apricot jam,48.0,12.9,0.0,0.01,0.044,0.1,0.042,0.004,8.7
chunky peanut butter,94.0,3.5,0.0,8.0,1.3,3.8,1.2,0.03,1.3
ham and cheese spread,37.0,0.3,9.2,2.8,0.0,2.4,1.3,0.2,0.0
chicken and rice casserole homade,27.0,2.4,0.0,1.0,0.3,2.0,0.0,0.0,0.0
picnic loaf,65.0,1.3,10.6,4.7,0.0,4.2,1.7,0.3,0.0
corn tamale,309.0,44.3,0.0,12.0,5.3,5.8,4.4,0.5,12.3
baked potato with cheese sauce bacon,451.0,44.4,29.9,25.9,0.0,18.4,10.1,1.0,0.0
chinese egg roll,223.0,24.3,14.2,10.6,2.3,7.4,1.9,0.4,0.0
butter croissant,231.0,26.1,38.2,12.0,1.5,4.7,6.6,0.2,6.4
enchilada with cheese beef,323.0,30.5,40.3,17.6,0.0,11.9,9.0,1.3,0.0
corned beef hash with potatoes,387.0,21.9,75.5,24.2,2.6,20.6,10.2,1.0,0.8
